Image,Run,Prompt,Chart Title,Question Type,Ground Truth,Model Name,Prediction,Answer Time (s),Correct
Q1_img10_Burlywood.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",345.52,Correct
Q1_img10_Burlywood.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",363.29,Correct
Q1_img10_Burlywood.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",391.34,Correct
Q1_img10_Burlywood.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",381.04,Correct
Q1_img10_Burlywood.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",347.41,Correct
Q1_img1_Red.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",384.43,Correct
Q1_img1_Red.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",387.12,Correct
Q1_img1_Red.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",379.06,Correct
Q1_img1_Red.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",333.93,Correct
Q1_img1_Red.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",338.87,Correct
Q1_img2_Saddlebrown.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",335.22,Correct
Q1_img2_Saddlebrown.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",331.92,Correct
Q1_img2_Saddlebrown.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",318.04,Correct
Q1_img2_Saddlebrown.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",328.79,Correct
Q1_img2_Saddlebrown.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",352.99,Correct
Q1_img3_Lightgray.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",348.18,Correct
Q1_img3_Lightgray.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",421.26,Correct
Q1_img3_Lightgray.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",346.63,Correct
Q1_img3_Lightgray.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",347.3,Correct
Q1_img3_Lightgray.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",345.78,Correct
Q1_img4_Lightpink.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",351.21,Correct
Q1_img4_Lightpink.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",341.28,Correct
Q1_img4_Lightpink.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",347.03,Correct
Q1_img4_Lightpink.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",341.82,Correct
Q1_img4_Lightpink.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by $10 from April to September in 20",340.13,Correct
Q1_img5_Navy.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",338.27,Correct
Q1_img5_Navy.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",328.0,Correct
Q1_img5_Navy.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",289.01,Correct
Q1_img5_Navy.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",284.63,Correct
Q1_img5_Navy.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",277.13,Correct
Q1_img6_Tomato.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",277.11,Correct
Q1_img6_Tomato.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",282.03,Correct
Q1_img6_Tomato.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",271.62,Correct
Q1_img6_Tomato.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",1488.15,Correct
Q1_img6_Tomato.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",353.23,Correct
Q1_img7_Black.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",355.13,Correct
Q1_img7_Black.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",350.25,Correct
Q1_img7_Black.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",372.43,Correct
Q1_img7_Black.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",1797.76,Correct
Q1_img7_Black.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",243.71,Correct
Q1_img8_Mediumvioletred.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",251.04,Correct
Q1_img8_Mediumvioletred.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",258.48,Correct
Q1_img8_Mediumvioletred.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",254.95,Correct
Q1_img8_Mediumvioletred.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",249.0,Correct
Q1_img8_Mediumvioletred.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",253.26,Correct
Q1_img9_Chartreuse.png,1,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",4761.21,Correct
Q1_img9_Chartreuse.png,2,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",357.29,Correct
Q1_img9_Chartreuse.png,3,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",428.72,Correct
Q1_img9_Chartreuse.png,4,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",427.22,Correct
Q1_img9_Chartreuse.png,5,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit",Make Comparisons,Make Comparison,$15,Chartgemma,"How much did the price of a barrel of oil fall from April to September in 2015? Options: $4, $15, $17, $45, Omit
The price of a barrel of oil fell by approximately $10 from April to September in 2",431.14,Correct
